opening_name,opening_variation,count
Sicilian Defense, Staunton-Cochrane Variation,110112
Gedult's Opening,~,109769
Hungarian Opening, Indian Defense,107963
Caro-Kann Defense, Panov Attack,106566
French Defense, Steinitz Attack,106261
Nimzowitsch Defense, Declined Variation,105481
Zukertort Opening, Lemberger Gambit,105420
Hungarian Opening, Symmetrical Variation,104455
Indian Defense, Normal Variation,104395
Ruy Lopez, Bird Variation,103995
Queen's Pawn Game, Anti-Torre,103940
Queen's Pawn Game, Steinitz Countergambit,103814
Indian Defense, London System,103726
English Opening," Anglo-Indian Defense, Queen's Knight Variation",103432
Queen's Gambit Declined, Ragozin Defense,102936
Trompowsky Attack,~,102265
English Opening, Anglo-Indian Defense,102074
Scotch Game, Scotch Gambit,101431
Italian Game, Rousseau Gambit,101097
Nimzo-Larsen Attack, English Variation,100808
Duras Gambit,~,100043
Ruy Lopez, Cozio Defense,99576
English Opening," King's English Variation, Two Knights Variation",98262
Sicilian Defense, Hyperaccelerated Dragon,98178
King's Gambit Accepted, Fischer Defense,98111
Kádas Opening,~,97289
Zukertort Opening, Ross Gambit,96898
King's Indian Defense,~,96115
London System,~,95998
Queen's Gambit Declined, Three Knights Variation,95910
Italian Game, Hungarian Defense,94938
King's Pawn Game, King's Head Opening,94829
Four Knights Game, Spanish Variation,94526
King's Pawn Game," Wayward Queen Attack, Kiddie Countergambit",93269
Scotch Game, Schmidt Variation,92225
French Defense," Exchange Variation, Monte Carlo Variation",92050
Queen's Gambit Declined, Albin Countergambit,91996
Alekhine Defense, Maróczy Variation,91458
Hungarian Opening, Sicilian Invitation,91194
Ruy Lopez,~,90618
Vienna Game, Stanley Variation,90063
English Opening, The Whale,89997
Rat Defense, Harmonist,89128
East Indian Defense,~,88834
Elephant Gambit, Paulsen Countergambit,88347
Modern Defense, Two Knights Variation,87885
Zukertort Opening, Queenside Fianchetto Variation,87881
Queen's Pawn Game, Mason Attack,86779
Four Knights Game," Spanish Variation, Classical Variation",86749
Caro-Kann Defense, Classical Variation,86667
Sicilian Defense, Grand Prix Attack,86496
Sicilian Defense," Accelerated Dragon, Modern Variation",86326
Zukertort Opening, Old Indian Attack,86316
Ruy Lopez, Exchange Variation,86299
Queen's Pawn Game," Symmetrical Variation, Pseudo-Catalan",85844
French Defense, Rubinstein Variation,85243
French Defense, Steiner Variation,84850
Indian Defense, Knights Variation,84082
King's Indian Defense, Normal Variation,83636
Benoni Defense, French Benoni,83287
Modern Defense, Standard Defense,81355
King's Gambit Accepted, King's Knight Gambit,80201
Torre Attack,~,80089
Czech Defense,~,79741
English Opening," King's English Variation, Reversed Closed Sicilian",79578
Queen's Pawn Game, Stonewall Attack,77455
Indian Defense, Budapest Defense,76889
Caro-Kann Defense, Maróczy Variation,76791
Caro-Kann Defense, Tartakower Variation,75877
Queen's Gambit Declined," Exchange Variation, Positional Variation",75819
Anderssen's Opening,~,75525
Dutch Defense, Queen's Knight Variation,75098
King's Indian Defense," Normal Variation, Rare Defenses",74408
Vienna Game, Falkbeer Variation,74258
Italian Game," Two Knights Defense, Knight Attack, Normal Variation",74014
Russian Game, Damiano Variation,73650
Caro-Kann Defense, Accelerated Panov Attack,73139
Queen's Pawn Game, Torre Attack,72921
Scotch Game, Haxo Gambit,72808
Modern Defense, Standard Line,72114
Ware Opening,~,71913
English Opening," Symmetrical Variation, Normal Variation",71426
Italian Game," Two Knights Defense, Fried Liver Attack",69604
Sicilian Defense," Taimanov Variation, Normal Variation",69467
Four Knights Game, Scotch Variation,69264
Queen's Gambit Declined, Exchange Variation,68512
Blackmar Gambit,~,68428
Englund Gambit Declined, Reversed Alekhine,68316
Center Game, Paulsen Attack Variation,67943
Russian Game, Modern Attack,66081
Bird Opening, From's Gambit,65884
Italian Game," Two Knights Defense, Polerio Defense, Bishop Check Line",65501
Nimzowitsch Defense, Franco-Nimzowitsch Variation,64991
King's Indian Defense," Normal Variation, King's Knight Variation",64904
French Defense," Classical Variation, Steinitz Variation",64695
Ware Defense,~,64101
Scandinavian Defense, Blackburne-Kloosterboer Gambit,63665
Van Geet Opening, Reversed Nimzowitsch,63364
Queen's Gambit Declined, Austrian Defense,63341
Sicilian Defense," Kan Variation, Knight Variation",63282
Alekhine Defense, Normal Variation,63223
Queen's Gambit Accepted, Saduleto Variation,62798
Queen's Gambit Declined, Harrwitz Attack,62415
Modern Defense, Mongredien Defense,62100
Semi-Slav Defense, Main Line,61439
Scandinavian Defense," Main Line, Mieses Variation",61304
Sicilian Defense, Hyperaccelerated Fianchetto,61116
Italian Game," Classical Variation, Albin Gambit",60771
Clemenz Opening,~,60515
Sicilian Defense, Franco-Sicilian Variation,60474
Caro-Kann Defense, Main Line,59403
Bishop's Opening, Philidor Counterattack,58871
Nimzowitsch Defense," Scandinavian Variation, Exchange Variation",58501
Scandinavian Defense, Panov Transfer,57746
Sicilian Defense, Four Knights Variation,57635
Queen's Pawn Game," Colle System, Anti-Colle",57427
Sicilian Defense," Canal Attack, Main Line",57166
Modern Defense, Three Pawns Attack,57130
Ruy Lopez," Morphy Defense, Caro Variation",56637
Queen's Gambit Declined, Modern Variation,56301
King's Gambit Accepted, Modern Defense,55656
Scandinavian Defense, Marshall Variation,55546
Sicilian Defense, Mengarini Variation,55439
Scandinavian Defense, Blackburne Gambit,55260
Queen's Gambit,~,55108
Sicilian Defense," Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",55049
Barnes Defense,~,54967
Alekhine Defense, Exchange Variation,54897
English Opening," Anglo-Indian Defense, Hedgehog System",54830
Englund Gambit Complex, Soller Gambit,54390
Zukertort Opening, Reversed Mexican Defense,54343
Sicilian Defense," Modern Variations, Main Line",54103
Goldsmith Defense,~,53643
Nimzo-Larsen Attack, Symmetrical Variation,53190
Queen's Pawn Game, Anglo-Slav Opening,53097
Sicilian Defense, Classical Variation,53056
Scandinavian Defense, Icelandic-Palme Gambit,52941
Rat Defense, Antal Defense,52478
Scandinavian Defense, Boehnke Gambit,52406
Sicilian Defense, Chekhover Variation,52080
Sicilian Defense," French Variation, Open",52075
Sicilian Defense, Dragon Variation,51846
Center Game, Kieseritzky Variation,51773
Nimzowitsch Defense, Williams Variation,51744
King's Pawn Game, Nimzowitsch Defense,51621
King's Gambit Accepted, Schallopp Defense,51595
Englund Gambit Declined, Reversed Krebs,51014
Indian Defense, Spielmann-Indian,50949
Ruy Lopez," Classical Variation, Central Variation",50857
Benoni Defense,~,50788
Sicilian Defense, Wing Gambit,50757
Queen's Gambit Declined, Vienna Variation,50555
French Defense," Advance Variation, Euwe Variation",50530
Italian Game," Classical Variation, Greco Gambit, Traditional Line",49849
Modern Defense, Geller's System,49800
Sicilian Defense, Marshall Counterattack,49099
Ruy Lopez," Berlin Defense, Improved Steinitz Defense",48872
Caro-Kann Defense," Advance Variation, Tal Variation",48626
Sicilian Defense, Marshall Gambit,48601
Alekhine Defense, Two Pawn Attack,48484
Scotch Game," Göring Gambit, Double Pawn Sacrifice",48435
Queen's Pawn Game," Chigorin Variation, Alburt Defense",47993
Blackmar-Diemer Gambit,~,47286
Sicilian Defense, Accelerated Dragon,47089
Scotch Game," Scotch Gambit, Advance Variation",47025
King's Indian Attack, Symmetrical Defense,46969
Sicilian Defense," Accelerated Dragon, Exchange Variation",46756
English Opening," Symmetrical Variation, Two Knights Variation",46754
Richter-Veresov Attack,~,46017
King's Indian Defense, Orthodox Variation,45968
Owen Defense, Smith Gambit,45594
French Defense," Advance Variation, Milner-Barry Gambit",45329
Yusupov-Rubinstein System,~,45120
Four Knights Game, Double Spanish,45077
French Defense, Mediterranean Defense,44824
King's Pawn Game, Beyer Gambit,44761
Indian Defense, Anti-Nimzo-Indian,44159
Sicilian Defense," Najdorf Variation, English Attack",44137
King's Indian Attack, French Variation,43914
Rat Defense, English Rat,43908
Carr Defense,~,43564
Ruy Lopez, Morphy Defense,43449
Bird Opening, Williams Gambit,43414
Pirc Defense, Byrne Variation,42774
King's Gambit Declined, Classical Variation,42713
Catalan Opening, Closed,42681
Nimzo-Indian Defense,~,42681
Vienna Game," Stanley Variation, Three Knights Variation",42611
Sicilian Defense, Lasker-Dunne Attack,42477
Bishop's Opening," Vienna Hybrid, Spielmann Attack",42438
Blackmar-Diemer Gambit, Gedult Gambit,42424
Ruy Lopez," Berlin Defense, Beverwijk Variation",42415
Italian Game," Giuoco Pianissimo, Canal Variation",42382
Sicilian Defense," Alapin Variation, Barmen Defense",42328
King's Indian Defense, Smyslov Variation,42023
Sicilian Defense, Hyperaccelerated Pterodactyl,41950
Sicilian Defense, Moscow Variation,41802
Old Indian Defense, Czech Variation,41607
Queen's Pawn Game," Veresov Attack, Classical Defense",40734
Sicilian Defense," Alapin Variation, Smith-Morra Declined",40699
French Defense, Paulsen Variation,40496
Alekhine Defense," Scandinavian Variation, Geschev Gambit",40217
Ruy Lopez," Morphy Defense, Anderssen Variation",39991
King's Pawn Game, Gunderam Gambit,39986
Sicilian Defense, Kalashnikov Variation,39904
Nimzowitsch Defense, Kennedy Variation,39415
King's Pawn Game, Tayler Opening,39268
Zukertort Opening, Dutch Variation,39125
Sicilian Defense, Snyder Variation,39020
King's Pawn Opening,~,39001
Caro-Kann Defense," Advance Variation, Van der Wiel Attack",38832
English Opening," Symmetrical Variation, Fianchetto Variation",38572
French Defense," Tarrasch Variation, Closed Variation",38395
Borg Defense,~,38187
Dutch Defense, Rubinstein Variation,37996
Indian Defense, West Indian Defense,37979
Latvian Gambit Accepted,~,37925
Italian Game," Two Knights Defense, Fritz Variation",37636
Ponziani Opening, Neumann Gambit,37632
Polish Defense,~,37521
Italian Game," Two Knights Defense, Knight Attack",37483
English Opening, Anglo-Dutch Defense,37437
Sicilian Defense," Najdorf Variation, Lipnitsky Attack",37330
King's Indian Defense, Four Pawns Attack,37177
Polish Opening, Czech Defense,37044
Center Game, Berger Variation,36756
Nimzowitsch Defense, Mikenas Variation,36450
King's Gambit Accepted, Cunningham Defense,36354
Gunderam Defense,~,35977
Queen's Gambit Accepted," Central Variation, Greco Variation",35802
English Opening, Carls-Bremen System,35774
Ruy Lopez," Exchange Variation, Lutikov Variation",35506
Russian Game," Modern Attack, Symmetrical Variation",35249
Queen's Gambit Declined," Baltic Defense, Pseudo-Slav",35154
Indian Defense, Omega Gambit,34901
French Defense," Rubinstein Variation, Blackburne Defense",34828
Réti Opening, Réti Accepted,34702
Pirc Defense, Roscher Gambit,34610
Portuguese Opening,~,34512
Scotch Game," Scotch Gambit, Dubois Réti Defense",34475
Philidor Defense, Nimzowitsch Variation,34314
French Defense, Schlechter Variation,34311
Scotch Game, Benima Defense,34201
Four Knights Game, Ranken Variation,34050
Ruy Lopez," Morphy Defense, Modern Steinitz Defense",33891
Indian Defense," Budapest Defense, Adler Variation",33614
Queen's Gambit Accepted," Central Variation, Alekhine System",33465
Queen's Gambit Accepted, Normal Variation,33202
Dutch Defense, Raphael Variation,33106
Queen's Gambit Declined," Modern Variation, Normal Line",33096
Benoni Defense, King's Pawn Line,32976
Queen's Gambit Declined," Chigorin Defense, Janowski Variation",32839
Philidor Defense, Hanham Variation,32795
Englund Gambit Complex, Felbecker Gambit,32779
Queen's Gambit Accepted, Rosenthal Variation,32585
Modern Defense, Averbakh System,32579
Four Knights Game, Halloween Gambit,32359
King's Knight Opening, Konstantinopolsky,32101
Slav Defense," Quiet Variation, Pin Defense",32012
Benoni Defense, Hromádka System,32003
Scotch Game, Lolli Variation,31805
Queen's Gambit Accepted," Central Variation, Modern Defense",31589
Nimzo-Indian Defense, Leningrad Variation,31383
Vienna Game," Stanley Variation, Reversed Spanish",31303
French Defense, Tarrasch Variation,31262
Grob Opening, Grob Gambit,31141
Nimzo-Indian Defense, Three Knights Variation,31089
Danish Gambit Accepted,~,31066
Tarrasch Defense,~,30859
Philidor Defense, Lion Variation,30752
English Opening," King's English Variation, Kramnik-Shirov Counterattack",30687
Scotch Game, Göring Gambit,30494
Russian Game, Cozio Attack,30429
Indian Defense, Przepiorka Variation,30211
Hungarian Opening, Reversed Alekhine,29981
Queen's Gambit Declined," Tarrasch Defense, Pseudo-Tarrasch",29957
Ruy Lopez," Berlin Defense, Rio Gambit Accepted",29889
Scotch Game," Classical Variation, Intermezzo Variation",29840
Italian Game," Classical Variation, La Bourdonnais Variation",29813
Latvian Gambit,~,29525
Bishop's Opening, Ponziani Gambit,29523
Hungarian Opening, Reversed Modern Defense,29369
Caro-Kann Defense," Two Knights Attack, Mindeno Variation",29239
Caro-Kann Defense," Advance Variation, Bayonet Attack",29213
Queen's Gambit Declined," Chigorin Defense, Exchange Variation",29174
Tarrasch Defense, Symmetrical Variation,28850
Vienna Game," Vienna Gambit, Steinitz Gambit, Knight Variation",28824
Sicilian Defense," Modern Variations, Tartakower",28565
Four Knights Game, Gunsberg Variation,28556
Alekhine Defense, Brooklyn Variation,28410
Alekhine Defense, Krejcik Variation,28350
Indian Defense, Tartakower Attack,28333
Queen's Gambit Declined, Traditional Variation,28079
Vienna Game, Omaha Gambit,28078
Grob Opening," Grob Gambit, Fritz Gambit",28035
French Defense," Advance Variation, Main Line",27915
Scotch Game," Scotch Gambit, Sarratt Variation",27849
King's Indian Defense, Zinnowitz Variation,27847
Queen's Pawn Game," Colle System, Traditional Colle",27680
Nimzowitsch Defense," Kennedy Variation, de Smet Gambit",27334
Queen's Gambit Accepted," Central Variation, McDonnell Defense",27252
Ruy Lopez, Nürnberg Variation,27245
French Defense, Perseus Gambit,27219
Queen's Gambit Declined, Semi-Tarrasch Defense,27149
Indian Defense," Colle System, King's Indian Variation",27138
Blackmar-Diemer Gambit, von Popiel Gambit,26832
Van Geet Opening, Dunst-Perrenet Gambit,26801
Trompowsky Attack, Classical Defense,26764
Pirc Defense, Austrian Attack,26514
King's Gambit Declined, Petrov's Defense,26406
Italian Game," Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",26217
Zukertort Opening, Quiet System,26113
King's Indian Attack, Sicilian Variation,26105
Blackmar-Diemer Gambit, Ryder Gambit,26009
Sicilian Defense, Drazic Variation,25995
Queen's Gambit Declined," Chigorin Defense, Modern Gambit",25817
Queen's Pawn Game," Chigorin Variation, Irish Gambit",25802
Sicilian Defense," O'Kelly Variation, Normal System",25729
English Opening," Symmetrical Variation, Anti-Benoni Variation",25548
Slav Defense," Slav Gambit, Alekhine Attack",25486
English Opening, Mikenas-Carls Variation,25426
Benko Gambit,~,25315
Slav Indian,~,25243
Sicilian Defense," Smith-Morra Gambit Declined, Push Variation",25086
Italian Game," Classical Variation, Center Attack",25013
Queen's Gambit Declined," Albin Countergambit, Normal Line",24939
Modern Defense, Bishop Attack,24837
Scandinavian Defense," Main Line, Leonhardt Gambit",24751
Caro-Kann Defense," Accelerated Panov Attack, Modern Variation",24682
Philidor Defense, Morphy Gambit,24630
Zukertort Opening, Nimzo-Larsen Variation,24537
English Opening," Anglo-Scandinavian Defense, Malvinas Variation",24534
French Defense, Chigorin Variation,24515
Amar Opening,~,24464
Dutch Defense, Normal Variation,24443
Sicilian Defense, Kramnik Variation,24399
Italian Game," Two Knights Defense, Ponziani-Steinitz Gambit",24351
English Opening, Anglo-Lithuanian Variation,24293
Italian Game," Evans Gambit, McDonnell Defense",24236
Canard Opening,~,24181
Réti Opening,~,24052
Philidor Defense, Lopez Countergambit,24009
Sicilian Defense, Kan Variation,24001
Italian Game," Two Knights Defense, Polerio Defense",23910
Zukertort Opening, Vos Gambit,23797
Sicilian Defense," Closed, Fianchetto Variation",23748
French Defense," Exchange Variation, Svenonius Variation",23726
Amazon Attack,~,23713
Scandinavian Defense, Portuguese Variation,23670
Ruy Lopez," Classical Variation, Zukertort Gambit",23484
Modern Defense," Two Knights Variation, Suttles Variation",23436
French Defense," Winawer Variation, Advance Variation",23353
Sicilian Defense," Accelerated Dragon, Maróczy Bind",23339
Queen's Gambit Accepted, Showalter Variation,23270
Caro-Kann Defense, Karpov Variation,23056
Réti Opening, Advance Variation,23002
Alekhine Defense," Two Pawn Attack, Lasker Variation",22882
Queen's Gambit Declined," Semi-Tarrasch Defense, Pillsbury Variation",22781
Sicilian Defense, Paulsen-Basman Defense,22774
Indian Defense, Pawn Push Variation,22712
King's Indian Defense," Sämisch Variation, Normal Defense",22554
King's Pawn Game, Mengarini's Opening,22393
English Opening," Anglo-Indian Defense, King's Knight Variation",22392
Bishop's Opening, Khan Gambit,22256
Sicilian Defense," French Variation, Normal",22214
Grünfeld Defense, Exchange Variation,22134
King's Gambit Declined," Falkbeer Countergambit, Blackburne Attack",22085
Nimzowitsch Defense," Kennedy Variation, Paulsen Attack",22057
Zukertort Opening, Wade Defense,21818
Sicilian Defense, Smith-Morra Gambit Deferred,21813
Slav Defense, Quiet Variation,21746
Three Knights Opening, Winawer Defense,21743
Italian Game," Giuoco Piano, Greco's Attack",21541
Benoni Defense, Modern Variation,21496
Polish Opening, King's Indian Variation,21471
Grob Opening," Spike, Hurst Attack",21456
Slav Defense, Schlechter Variation,21452
Sicilian Defense," Alapin Variation, Barmen Defense, Central Exchange",21449
Sicilian Defense," Taimanov Variation, Bastrikov Variation",21412
Sicilian Defense," Kan Variation, Maróczy Bind, Réti Variation",21345
Dutch Defense, Classical Variation,21194
English Opening," King's English Variation, Three Knights System",21089
Caro-Kann Defense," Panov Attack, Modern Defense, Mieses Line",21031
Mexican Defense,~,21021
Danish Gambit Accepted, Copenhagen Defense,21005
Semi-Slav Defense, Marshall Gambit,20996
King's Indian Defense, Semi-Classical Variation,20915
Danish Gambit Declined, Sorensen Defense,20794
Pirc Defense," Classical Variation, Schlechter Variation",20753
Caro-Kann Defense," Exchange Variation, Rubinstein Variation",20655
Lion Defense, Lion's Jaw,20607
Alekhine Defense, Four Pawns Attack,20528
Slav Defense," Quiet Variation, Schallopp Defense",20487
Scotch Game," Scotch Gambit, London Defense",20477
Caro-Kann Defense," Classical Variation, Main Line",20415
French Defense," Steinitz Variation, Boleslavsky Variation",20196
Scandinavian Defense, Kloosterboer Gambit,20149
Alekhine Defense, Mokele Mbembe,20134
Sicilian Defense, Lasker-Pelikan Variation,20099
Blackmar-Diemer Gambit, Netherlands Variation,20093
Sicilian Defense, O'Kelly Variation,20069
Italian Game," Two Knights Defense, Perreux Variation",20058
King's Pawn Game, Tortoise Opening,20010
Ruy Lopez," Morphy Defense, Tarrasch Variation",19973
Sicilian Defense," Four Knights Variation, Exchange Variation",19928
Philidor Defense, Steinitz Variation,19875
Ruy Lopez," Exchange Variation, Normal Variation",19870
Sicilian Defense," Dragon Variation, Yugoslav Attack, Modern Line",19798
Paleface Attack,~,19656
Blumenfeld Countergambit,~,19606
English Opening," Anglo-Indian Defense, King's Indian Formation",19570
Queen's Gambit Declined," Vienna Variation, Quiet Variation",19531
Englund Gambit Complex, Soller Gambit Deferred,19492
Borg Defense, Borg Gambit,19430
Scotch Game, Mieses Variation,19298
Nimzo-Indian Defense, Classical Variation,19189
Queen's Indian Defense,~,19154
Sicilian Defense," Accelerated Dragon, Modern Bc4 Variation",19071
Italian Game," Two Knights Defense, Polerio Defense, Bogoljubov Variation",18963
Grünfeld Defense," Exchange Variation, Modern Exchange Variation",18840
Scandinavian Defense," Modern Variation, Gipslis Variation",18827
French Defense, Wing Gambit,18805
English Opening," Anglo-Scandinavian Defense, Schulz Gambit",18723
Sicilian Defense, Katalimov Variation,18578
King's Indian Defense, Makogonov Variation,18542
Alekhine Defense, Sämisch Attack,18520
Sicilian Defense," Lasker-Pelikan Variation, Retreat Variation",18467
Sicilian Defense, Nimzowitsch Variation,18393
Queen's Gambit Accepted, Accelerated Mannheim Variation,18380
Four Knights Game," Italian Variation, Noa Gambit",18365
Indian Defense, Reversed Chigorin Defense,18324
Sicilian Defense, Keres Variation,18296
Sicilian Defense," Lasker-Pelikan Variation, Schlechter Variation",18262
Italian Game, Scotch Gambit Declined,18171
Sicilian Defense," Najdorf Variation, Opocensky Variation",18170
Ruy Lopez," Exchange Variation, King's Bishop Variation",18148
Grünfeld Defense," Three Knights Variation, Burille Variation",18137
English Opening, Anglo-Grünfeld Defense,18134
Sicilian Defense," Kan Variation, Wing Attack",18106
King's Pawn Game, Alapin Opening,18076
King's Pawn Game, Dresden Opening,18028
Vienna Game, Paulsen Variation,18012
Trompowsky Attack," Classical Defense, Big Center Variation",17795
Sicilian Defense, Scheveningen Variation,17722
Grob Opening, Grob Gambit Declined,17651
Sicilian Defense, Jalalabad Variation,17572
King's Gambit Accepted, Becker Defense,17548
Zukertort Opening, Arctic Defense,17536
English Opening," King's English Variation, Two Knights Variation, Reversed Dragon",17536
Benoni Defense, Benoni-Indian Defense,17531
Vienna Game," Vienna Gambit, Main Line",17482
Queen's Gambit Accepted," Normal Variation, Traditional System",17460
Blackmar-Diemer Gambit, Teichmann Variation,17459
Sicilian Defense," Smith-Morra Gambit Accepted, Paulsen Formation",17458
French Defense," Advance Variation, Steinitz Variation",17392
Modern Defense, Pseudo-Austrian Attack,17365
Dutch Defense, Hopton Attack,17342
